i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
2117,2011,Niger,2,2,1,0,0,1,0,0,0,0,0,0,1,0
2118,2011,Niger,0,2,0,0,1,0,0,0,0,0,0,1,0,1
2201,2011,Niger,0,0,0,0,0,0,1,1,0,1,1,1,0,0
2202,2011,Niger,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2203,2011,Niger,0,0,1,0,1,1,0,0,1,1,2,0,1,0
2204,2011,Niger,2,0,0,0,0,1,0,0,3,0,0,1,0,0
2205,2011,Niger,0,0,0,2,0,0,1,1,2,1,0,1,1,0
2206,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2207,2011,Niger,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2208,2011,Niger,0,2,0,0,0,1,0,2,0,0,0,1,0,0
2209,2011,Niger,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2210,2011,Niger,2,2,1,0,0,1,0,0,0,0,0,1,0,0
2211,2011,Niger,0,0,0,0,0,1,0,0,1,1,1,1,0,0
2212,2011,Niger,0,3,1,0,0,1,0,2,2,1,0,1,1,0
2213,2011,Niger,2,0,0,0,0,1,0,0,1,2,0,0,1,0
2214,2011,Niger,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2215,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2216,2011,Niger,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2218,2011,Niger,1,1,0,0,0,1,0,0,1,0,0,1,0,0
2301,2011,Niger,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2302,2011,Niger,0,1,1,0,1,0,1,0,1,1,1,0,1,0
2303,2011,Niger,0,2,0,0,1,1,0,0,1,2,0,0,1,0
2304,2011,Niger,1,1,0,0,0,1,0,0,1,0,0,1,0,0
2305,2011,Niger,0,0,1,2,1,0,0,0,0,1,0,0,1,0
2306,2011,Niger,0,1,0,0,0,0,0,1,0,1,1,0,0,1
2307,2011,Niger,0,1,0,0,0,1,0,0,1,2,0,0,0,0
2308,2011,Niger,1,0,0,0,1,0,0,1,1,1,0,1,0,0
2309,2011,Niger,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2310,2011,Niger,0,2,2,1,0,1,0,1,1,0,0,0,1,0
2311,2011,Niger,0,1,0,0,0,1,0,1,2,1,0,1,0,0
2312,2011,Niger,1,1,0,0,0,0,1,0,1,0,0,0,1,0
2313,2011,Niger,0,1,0,1,0,0,1,1,1,3,1,0,1,0
2314,2011,Niger,1,1,0,0,1,0,0,0,0,0,1,0,0,0
2315,2011,Niger,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2316,2011,Niger,0,0,1,2,1,0,1,0,0,1,1,1,1,0
2317,2011,Niger,0,1,0,0,0,1,0,2,1,0,0,1,0,0
2318,2011,Niger,0,1,0,1,1,0,1,0,0,0,0,0,1,0
2401,2011,Niger,1,0,1,1,1,0,1,0,5,0,0,0,1,1
