i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
30008,2010,Nigeria,0,0,1,0,0,1,0,0,1,0,1,1,1,0
30009,2010,Nigeria,0,1,0,1,1,1,0,1,0,1,1,0,1,0
30010,2010,Nigeria,0,0,0,0,2,1,1,0,0,0,0,2,0,1
30012,2010,Nigeria,0,0,1,0,2,0,1,0,0,0,1,3,1,0
30013,2010,Nigeria,1,0,1,0,0,1,0,0,0,0,0,1,0,1
30016,2010,Nigeria,0,1,0,1,1,0,1,0,0,1,0,3,2,0
30017,2010,Nigeria,1,0,1,0,0,1,0,1,2,0,0,0,1,0
30018,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30019,2010,Nigeria,0,1,1,1,0,0,0,1,0,1,0,0,1,0
30020,2010,Nigeria,0,0,0,1,2,1,0,0,0,0,0,0,1,1
30021,2010,Nigeria,0,1,1,0,0,1,0,1,1,1,0,1,1,0
30022,2010,Nigeria,0,0,1,0,1,1,0,0,0,0,0,0,1,0
30023,2010,Nigeria,0,0,0,0,3,0,1,1,0,0,2,1,0,1
30024,2010,Nigeria,1,1,0,0,4,1,0,0,0,2,2,2,2,0
30025,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30026,2010,Nigeria,0,0,0,0,0,1,0,0,1,0,0,0,1,0
30027,2010,Nigeria,0,0,0,0,0,1,1,0,0,0,2,1,0,1
30028,2010,Nigeria,1,1,1,1,0,0,1,0,1,0,2,0,1,0
30030,2010,Nigeria,1,2,0,0,0,0,1,1,0,2,0,0,1,0
30031,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30032,2010,Nigeria,0,1,0,0,0,1,0,2,1,2,0,0,1,0
30033,2010,Nigeria,0,0,0,0,0,1,0,2,1,0,0,2,0,0
30034,2010,Nigeria,1,0,0,0,1,0,0,0,0,0,0,1,0,0
30035,2010,Nigeria,2,2,1,0,0,1,0,0,1,1,0,1,0,0
30036,2010,Nigeria,0,0,0,0,0,1,0,2,1,1,0,1,0,0
30037,2010,Nigeria,1,1,0,0,0,1,0,0,0,0,0,1,0,1
